review,rating,day,month,year
"excellent ,site sérieux,professionnel et a l’écoute de ses clients,je recommande.mr pousset",5,21,mars,2021
"expédition rapide, proposition de prix attractive, parfait.",5,20,mars,2021
livrer très rapidement après commande emballage en parfait étatproduit de très bonne qualité merci pour les conseils d experts du site,5,19,mars,2021
"equipe efficace pour le service après vente répondent toujours à vos questions malgré votre persistance , je suis vraiment ravi de leur professionnalisme .je ferai d'autre commandes sans hésitation .attention tout de même au matériel ""en réapprovisionnement "" , il ne faut pas être pressé .",5,19,mars,2021
vite correct ras,5,19,mars,2021
allez y en toute confiance .magasin très serieux . après avoir passé plusieurs commandes je peut dire qu’il n’y eu aucun soucis et si il y a erreur se qui peut arriver cela est régler dans la journée.,5,19,mars,2021
rien à dire. beaucoup de choix des produits parfois rares expédition rapide,5,17,mars,2021
"meilleur prix qu'ailleurs, livraison ultra rapide, je recommande.",5,19,mars,2021
"j'ai passé ma première commande le 24 janvier 2021 chez homecinésolutions pour un support tv vogel. au départ je cherchais une barre de son et j'ai trouvé chez homecinésolutions une offre large de matériel haut de gamme à des prix très compétitifs. prise de commande et livraison parfaites - je n'ai pas eu affaire au service client mais je n'ai aucune inquiétude.il me reste à commander la barre de son (sonos arc) avec subwoofer et enceintes arrières... c'est un beau budget, et je compte le dépenser chez homecinésolutions !",5,24,janvier,2021
"je regrette que le règlement se fasse à la commande et non à la livraison.si un article est indisponible lors d'une commande globale, il faut attendre la livraison de ce dernier pour obtenir la livraison. pas de livraison partielle.difficulté à contacter un interlocuteur au téléphone pour le conseil. temps d'attente très très long.",3,18,mars,2021
livraison de la commande très rapide avec un suivi très précis des différentes étapes de livraison.matériel parfaitement conforme à ce que j’attendais.merci,5,18,mars,2021
"tout se déroule comme prévu, matériel en bon état.très satisfait à tout point de vu.",5,18,mars,2021
très satisfait de mon achat. super service. merci.,5,18,mars,2021
"excellent rapport qualité/ prix, image de très bonne qualité, seul manqe de couleur sur le ciel qui apparaît en léger damier quand on regarde de prêt.un peu bruyant mais esquissé avec un home cinéma.projection en 4k sur 3,30m de diagonale",5,18,mars,2021
"bons conseils pré-commande, livraison très rapide ensuite.",5,3,mars,2021
"très satisfait de mon achat,expédié rapidement.",4,18,mars,2021
"le choix des produits est très bon, les devis offerts sont plus que corrects et les mentions de disponibilité sont fiables.le choix de geodis pour le transport est un très bon choix.vous pouvez y aller...",5,18,mars,2021
"un ampli a/v marantz sr8015 commandé et reçu en 72h comme prévu en parfait état, au meilleurs prix,vendeur sérieux,je le recommande !",5,17,mars,2021
emballage et livraison soignés.,5,17,mars,2021
très bon matériel. très bon conseil. très à l'écoute. grand professionnalisme.,5,17,mars,2021
"bonne disponibilité du personnel, bons conseils, bon rapport qualité prix.",5,17,mars,2021
"très bon tarif, rapide.... dommage pas de klipsch chez vous.",5,17,mars,2021
conseils et sav excellent!,5,17,mars,2021
bon son là finition un peut juste pour ce modèle .,4,17,mars,2021
"livraison conforme à la commande, matériel super bien emballé pour éviter la casse et délai livraison acceptable. informations suivi commande par mail.",5,17,mars,2021
du conseil jusqu a la livraison tout fut  parfait merci,5,17,mars,2021
rapidité de livraison produit très bien emballé et protégé je recommande sans hésitation,5,17,mars,2021
"c'est pro, c'est rapide, très bon service clients. j'en parle à tous mes amis qui ont des projets de home cinéma !",5,17,mars,2021
un bon site en termes de conditions et rabais sur les produits. livraison rapide.,5,16,mars,2021
tres bon matériel    entièrement  satisfait  je recommanderai  homecinesolution a mes proches  et mes  connaissances  merci,5,16,mars,2021
"site sérieux et très professionnel, une excellente sav rapide, je recommande fortement...",5,16,mars,2021
service sav qui fait tout pour pas faire jouer la garantie du vendeur .... vraiment dommage de leser les clients des qu'un produit a un soucis,1,16,mars,2021
très bon conseil et très bons produits bien emballé et livraison rapide,5,16,mars,2021
"excellent produit en terme d'image, de la profondeur, du relief et un noir dément.une image uhd époustouflante. même la tv en hd est magnifique, les visages crévent l'écran.relativement facile à placer. prise en main au niveau des réglages d'image nécessitant une petite accoutumance. applications android installées peu performantes, notamment netflix qui ne fonctionne pas.niveau sonore ultra faible.remplace avantageusement un ancien benq à focale longue.",5,16,mars,2021
"personnel très aimable, réponses rapides aux question et conseils judicieux, matériel toujours reçu jusqu'à présent en parfait état, scellé solidement dans son emballage, produits de qualité à des prix vraiment très intéressants. bonne continuation!",5,16,mars,2021
"super ! envoi super rapide et soigné, le site propose des tarifs intéressants, ils sont aussi très réactifs pour vous apporter un conseil avant achat et prennent le temps de répondre à toutes vos questions, solutionnant chaque point avec des conseils avisés. très contente ! merci beaucoup :)",5,2,mars,2021
"barre de son panasonic sc-htb400. cette barre est idéale pour complémenter ma télévision également de marque panasonic. livraison rapide. totalement satisfait, je recommande ce site.",5,16,mars,2021
"très content du service , de l'état du produit et de son conditionnement. quand on habite dans les dom (martinique) on est très sensible à ça.",5,15,mars,2021
"produit impeccable, envoi ultra rapide et très bonne communication...que demander de plus ?",5,15,mars,2021
"parfait, réactif, dans les délais",4,15,mars,2021
"comme toujours, pleinement satisfait des prestations de flash rc.",5,21,mars,2021
tbien.ras. parfait.,5,21,mars,2021
le top au niveau conseil matériel.,5,21,mars,2021
prix correct et envoi très rapide.,5,21,mars,2021
"très bon service, comme d'habitude",5,21,mars,2021
bonjour très satisfait de livraison et commande convivial professionnel rien à dire,5,21,mars,2021
j'ai été parfaitement renseigné.,5,21,mars,2021
produits livrés rapidement et sans problème. je ne mets que « moyen » car j’avais mis un commentaire avec une petite précision pour la découpe des joncs carbone et il n a pas été pris en compte.,3,21,mars,2021
"un magasin spécialisé pour les modélistes, le personnels est compétents dans les différents domaines du modélisme. disponibilités du matériels  avec des prix raisonnables les commandes et les livraisons sont  traitées rapidement.",5,21,mars,2021
toujours au top !,5,20,mars,2021
ne changez rien une bonne équipe réactive ,5,20,mars,2021
réactivité parfaite,5,20,mars,2021
"déçu de ma cde une planche de samba fourni vraiment vrillé, inutilisable.",2,20,mars,2021
les conseils techniques avant la vente sont de grande qualité.la livraison s'est très bien passée et est très rapide . le planeur très bien emballé est arrivé sans dégât. je suis très content de la prestation de flash rc.bravo à toute l'équipe.,5,20,mars,2021
commande arrivée rapidement c'est parfait !,5,20,mars,2021
bonne réactivité,5,20,mars,2021
command de  2 fuselage tout simplement magnifique 🥳,5,20,mars,2021
livraison rapide bon produits commandés,5,20,mars,2021
"magasin au top et envois rapides, sans doute un des meilleurs magasins français!",5,20,mars,2021
"suite à un petit problème avec un nouveau moteur et son contrôleur , appel du service technique qui me donne une solution . aprés mise ne oeuvre problème résolu .bonne prise ne compte du problème rapidité de réaction . rien à dire tout va bien .",5,20,mars,2021
"ne changez rien, c'est parfait",4,20,mars,2021
"prise en compte rapide par les équipes  de flash rc de votre commande et réponses rapide à vos questions, ils sont à votre écoute, et vous conseille.",5,20,mars,2021
"sérieux,livraison rapide ,à recommander",5,20,mars,2021
"bonjourla maquette était conforme à la description. livraison rapide, je remercie votre équipe cordialement m g",5,20,mars,2021
"un peu difficile de les avoir au téléphone, mais après cette difficulté, du bonheur qui se retrouve sur un alpina carbotec 4m. je ne regrette pas cet achat d'un vendredi soir 17h30 d'une jeti ds16 red carbon. merci à mon vendeur qui a été d'un excellent conseil.",5,20,mars,2021
bon site de vente en ligne. réactif et a l'écoute.,5,20,mars,2021
au top comme toujours !!,5,19,mars,2021
"toujours aussi professionnel,  rien à dire sauf un grand merci.",5,19,mars,2021
"très content, envoi rapide et le colis est bien protégé",5,19,mars,2021
"envoi rapide, service client reactif, merci",5,19,mars,2021
"livraison conforme à ma commande , bien emballé et dans les délais . merci",5,19,mars,2021
il manquait un jonc carbone dans mon colis qui apparemment s'était échappé par un petit trou dans l'angle du carton. le sav m'a renvoyé un jonc dès le lendemain.merci beaucoup au sav pour cette réactivité appréciable.,4,12,mars,2021
rapidité et confirmation de ma commande,5,19,mars,2021
livraison rapide et conforme.,5,19,mars,2021
efficace et rapide,5,19,mars,2021
emballage insuffisant arrivé tordu et écrasé.,3,18,mars,2021
"du choix,  du stock,  des prix intéressants et enfin des délais de traitement des commandes très  courts. une équipe très  réactive.",5,18,mars,2021
"je n'avais pas encore fait d'achat important ,tout s'était bien passé.là j'ai fait 2 commandes à 48 heures d'intervalle et vraiment aucun problème et délai très court.bravo.continuez comme cela.",5,18,mars,2021
"parfait envoi rapide , produit bien emballé. comme d'habitude.",5,18,mars,2021
livraison très rapide. emballage nickel.,5,12,mars,2021
très satisfait de ma cde.,5,21,mars,2021
j ai fait une commande dans laquelle un article n etait pas bon (cable chargeur samsung) j ai appelé le service client pour un échange et surprise on m a envoyé le cable demandé et à sa réception seulement j ai retourné le cable qui ne convenait pas merci pour la confiance faite au client,5,21,mars,2021
produit bien protégé et conforme.,5,21,mars,2021
produit  conforme à la commande  et livraison  rapide  très bon site internet,5,21,mars,2021
envoi très rapide. très satisfaite.,5,21,mars,2021
"l'échange s'est bien passé, à part le câble qui est un peu trop court ,mais à part ça rien à en redire , très pro et réactifs !encore merci",5,21,mars,2021
produit conforme à la commande et livré rapidement,4,21,mars,2021
service client toujours a l'écoute et de bons conseils. livraison rapide et prix raisonnables,5,21,mars,2021
commande réalisée dans des conditions très rapides et correspondant à notre attente,5,21,mars,2021
"nickel ! tout était conforme aux attentes, produits + livraison ! :-)",5,21,mars,2021
livraison dans les délais. pas compliqué à installer contente de mon achat,5,21,mars,2021
"le film est aux bonnes dimensions, mais c’est tout .pas d’explications pour la pose . galère pour l’installer. donc le film commence à se détériorer aux coins du portable. j’attend que cela se decolle un peu plus et je change pour un verre trempé.",3,21,mars,2021
produit conforme à la commande. livraison ultra rapide !,5,21,mars,2021
très satisfait des produits commandés. livraison rapide.je recommande.,5,21,mars,2021
"bien, livré comme prévu. le produit mériterait d'être mieux présenté, par exemple, les boutons en superposition pour le marche-arrêt et le volume sont difficiles à maîtriser en pression. ceci ne se voit pas!",5,21,mars,2021
pas de soucis cde respectée et produits satisfaisants ..cdt,5,21,mars,2021
bon accueil.rapidite d'exécutionsatisfait de l'expérience e,5,21,mars,2021
livraison rapide sans problème a signaler.,5,21,mars,2021
très satisfaite produit dans le temps prévu bien emballer!!!,5,21,mars,2021
produit tout à fait conforme à ma demande,5,21,mars,2021
merci commade reçu et tant et en heure,5,21,mars,2021
"envoi dans les temps, conforme au visuel du site, bien protégé. super efficace.",5,21,mars,2021
tjs respect des délais et des prix compétitifs:),5,5,mars,2021
article correspondant à la commande avec une très grande rapidité de livraison,4,21,mars,2021
"suite a ma commande de protection d'écran pour mon galaxy s10+, j'ai pris un peu peur au début pour l'installer car je n'arrivais pas a chasser toutes les bulles. mais une fois le film qui protège la protection d'écran, il n'y avait plus de bulle. moins de traces de doigts qu'avec celui d'origine, sinon il est aussi fin et souple ce qui permet celui-ci de bien épouser l'arrondit de l'écran et de fonctionner pour l'empreinte.je re-commande. bon rapport qualité prix.",5,21,mars,2021
produit correspondant exactement au téléphone. livraison réalisée avec les contraintes imposées de du gouvernement...,5,21,mars,2021
très très satisfaite du produit livraison rapide à recommander,5,21,mars,2021
"excellente réactivité :j’avais choisi un étui de téléphone qui au final ne me plaisait pas, j’en ai reçu un autre qui correspondait à mes attentes sans que gsm55 attende mon retour, dans des délais express. je recommande !",5,21,mars,2021
"rien à dire, toujours bien servi. articles de très bonne qualité. très bon rapport qualité prix. envoi rapide.",5,21,mars,2021
tres bon produit et de plus recu chez moi tres rapide ment. merci a+,5,21,mars,2021
produit conforme à ma commande.vitre de protection et coque parfaitement adapté à mon téléphone. très satisfait,4,21,mars,2021
housse téléphone bien adapté à mon iphone,4,21,mars,2021
"rien à dire , si ce n'est: service et contact parfait site de vente très réactif , produit correspondant à la description je recommande !",5,20,mars,2021
produit conforme à la  commande  et a mes attentes.,5,20,mars,2021
service rapide et efficace.,5,20,mars,2021
j'ai été satisfaite de ma commande!,4,20,mars,2021
parfait comme à chacune de mes commandes...,5,20,mars,2021
j'ai été très satisfaite de la rapidité du service et du produit livré qui correspondait à mon attente.,1,20,mars,2021
tres contant,5,20,mars,2021
produit conforme à son origine et livré rapidement,5,20,mars,2021
produit au top et livraison rapide,5,21,mars,2021
"bon produit, avec les rivets blanc inclus envoi rapide.",5,20,mars,2021
"seul défaut, boite trop grand pour le produit   dans mon cas.",5,20,mars,2021
"efficace, rapide, bon conseils, beaucoup de choix et rapport ""qualité / prix"" en correspondance avec celui du marché.",5,20,mars,2021
excellent produit et conforme à mes attentes,5,20,mars,2021
toujours aussi réactif !!!,5,20,mars,2021
"tout est parfait, bien emballé, envoyé rapidement ! soit parfait !",5,20,mars,2021
"envois tres rapide, conforme a ma commande.je recommande ce site",5,19,mars,2021
réponses rapides lors de demandes d'informations et respect des délais de livraison.,5,11,mars,2021
"produits reçus en bon état, de bonne qualité et dans un délia très court. complètement satisfait!!",4,18,mars,2021
sérieux et rapide....,4,18,mars,2021
"assez décevant, carton déchiré à la réception du colis et cassé constaté sur le drone ( couvercle de batteries cassé).je dois faire des démarches administratives et retourner mon colis avec un formulaire rma. ça commence bien!!!",3,18,mars,2021
"parmis m'a commande il y avait un produit qui n'était pas disponible. sur m'a demande, ils m'ont remboursé ce produit et envoyé de suite le restant de ma commande. cette dernière reçue rapidement était conforme à mes attentes.merci",5,18,mars,2021
"produits de qualité, prix corrects, réactivité rapideque demander de plus",5,18,mars,2021
"bon contact, commande livrée super bien emballée et rapidement, merci",5,18,mars,2021
envoi rapide et serieux.,5,11,mars,2021
"problèmes de livraison, emballage écrasé, problèmes de batterie avec la camera qui se decharge seule de 10 % par jour.la reponse:démonter la batterie si on ne s'en sert pas. du coup il faut tout parametrer à chaque fois.",1,18,mars,2021
"excellent conseil , livraison parfaite",5,18,mars,2021
commande conforme. rapidité. produit de qualité.,5,18,mars,2021
"bonne communication, pour le suivi du colis livré rapidement. pas d'avis sur le produit , pas encore utilisé.",5,17,mars,2021
"très bon service, contact agréable, trés bien",5,17,mars,2021
conforme à ce qui était indiqué sur le site avoir avec le temps et l’utilisation,5,17,mars,2021
"service téléphonique parfait, bon conseil client rapidité de réception de la commande je recommande vivement",5,17,mars,2021
"très bon produit correspond à mon attente, batterie un peu juste en autonomie",5,17,mars,2021
"sérieux et rapide, que demander de plus ! :)",5,17,mars,2021
livraison rapide ! je recommande !,5,17,mars,2021
malheureusement leur prestataire colissimo n’est vraiment pas à la hauteur. colissimo ne gère pas ses points relais. il est fréquent qu’ils déposent avec retard le colis dans un point relais différent de celui défini.c’est dommage car la caméra embarquée a immédiatement réagi et expédié les produits commandés.ils sont responsables du choix de leurs sous-traitants.,3,17,mars,2021
"produit conforme à la pub, livraison sous 3 jours ! top !",5,17,mars,2021
"pour les accessoires vlog pour gopro, je n'ai pas trouvé d'équivalent en belgique. rapide et efficace pour l'envoie des commandes. sàv à la hauteur, réactif et productif.",4,15,mars,2021
une livraison sans encombre et dans des délais annoncés. .r.a.s,5,17,mars,2021
conforme à mes attentes.service rapide.,5,17,mars,2021
"excellent service. aimable, compétent et réactif. que ce soit lors de la vente ou du support technique. je recommande vivement ce magasin.",5,17,mars,2021
la livraison a été rapide et les produits correspondent à la description.,5,16,mars,2021
superbe service très content de cette première expérience avec la caméra embarquée.,5,16,mars,2021
"produit conforme à la description ,réapprovisionnement + d’un mois trop long  on se console avec de bon produit ",4,16,mars,2021
emballage étanche réutilisable : trés bonne idée,5,16,mars,2021
top produit reçu dans les temps pas encore testé les batteries !!! sinon film protecteur au top je recommande le site,5,16,mars,2021
comme annoncé ! que vouloir de plus ?,5,16,mars,2021
très bien . bon rapport qualité prix,5,16,mars,2021
produit reçu très rapidement. qualité gopro,5,16,mars,2021
au top et simple d'utilisation,5,21,mars,2021
très simple d'utilisation et vraiment agréable de voir tous ces mails être supprimés ,5,,,
très bien efficace et gratuit,5,21,mars,2021
ne prend pas tous les mails en compte mais fait quand même un boulot fabuleux !,4,21,mars,2021
"excellent, efficace et très simple d'utilisation",5,,,
excellent !!,5,20,mars,2021
application simple à utiliser seul bémol pas toujours claire si on est connecté ou pas car il y des spams non traités,4,20,mars,2021
très pratique je m'en sers régulièrement !,5,,,
hyper simple ohhhhh top,5,19,mars,2021
okokokokokok,5,19,mars,2021
excellente application...,5,18,mars,2021
"facile d'utilisation, agréable, très pratique, top !",5,18,mars,2021
j'espère que les pubs vont s'arrêter !!,5,17,mars,2021
génial trop bien,5,17,mars,2021
"rapide efficace, simple d'utilisation",5,17,mars,2021
très grand gain de temps et tres efficace,5,17,mars,2021
bonne appli pour faire le tri,5,16,mars,2021
pratique et essentiel,5,16,mars,2021
parfait et rapide,5,15,mars,2021
super et facile.,5,15,mars,2021
"vraiment très utile comme site, gratuit et efficace parfait !!!",5,,,
"rapide et facile à utiliser, vous pourrez aisément faire le tri dans vos différentes boites mail.une version en ligne est disponible, vous n'aurez même pas besoin de télécharger quoi que ce soit.",5,14,mars,2021
merci beaucoup à l'équipe cleanfox qui travaille à rendre nos boîtes mail plus propres!!,5,13,mars,2021
très satisfait de cette application.,5,12,mars,2021
marre des publicités,5,11,mars,2021
outils super efficace et rapide pour trier ses mails !,5,11,mars,2021
"super outil, que j'utilise régulièrement !",5,11,mars,2021
genial utile perfect,5,,,
appli au top! ultra rapide...,5,9,mars,2021
super pratique et efficace,5,9,mars,2021
it work just as expected ! thanks,5,,,
"excellent service, fluide, intuitif, bon pour ma boite mail et la planète",5,9,mars,2021
bien ça m'a bien nettoyé ma boite mail,5,8,mars,2021
top application,5,8,mars,2021
supprimer 30 emails revient à économiser 24h de consommation d'une ampoule.,5,7,mars,2021
application indispensable pour la planète,5,7,mars,2021
très rapide et intuitif,5,7,mars,2021
"en revanche, trust pilot est un enfer",5,7,mars,2021
parfait et très utile,5,7,mars,2021
hyper pratique,5,6,mars,2021
"franchement sympathique,permet de voir certaines stats interessantes sur twitter et d’autres info amusantes",5,,,
site sympa pour se faire des potes et partager ses délires du quotidien ! leur plateforme est de bonne qualité et la protection des données perso est assurée. je la recommande sans aucune hésitation !,5,7,janvier,2021
"ce site est vraiment top !! beaucoup de fonctionnalités superbes, je recommande ! :)",5,14,février,2021
en sah c'est des gars bien,5,,,
c'est génial,5,,,
"ce service est trés rigolo comme peut étre trés utile, il comprend notamment énormements de services super cools ! continuez comme ça !",5,,,
its so good fonctionnalité pour twitter,5,,,
franchirent c’est parfait quand on s’ennuie et on rigole bien avec ses potes,5,,,
"service géniale avec lequel on peut créer plusieurs délires en amis ce qui est incroyable !! en plus avec affinitweet, nos données sont protégées !!",5,,,
"les goats, je les aimes, bon moment entre copain assuré !!!!",4,,,
awesome and fun,5,,,
très sympathique !,5,,,
coool is so smart,5,,,
app vraiment simple et cool !,5,,,
yeessssssssssssss,5,,,
great app very cool,5,,,
"j'utilise leur site depuis un long moment et c'est juste parfait ! c'est très utile pour énormément de chose sur twitter. (savoir avec qui l'on parle le plus, qui a follow qui en premier etc.) la plus utile reste le top friends à mon goût mais les autres fonctionnalités sont tout aussi génial. j'ai très hâte de voir les prochaines fonctionnalités arrivé qui sont encore plus prometteuse ! bref, utilisez affinitweet, c'est amusant et intéressant!",5,,,
"très bon site, rapide et fluide.",5,,,
envie de découvrir plus de fonctionnalités ,4,,,
excellent site très drôle et site de confiance je conseille!!!,5,,,
very fun to us. i love it,4,,,
très sympa. recommandé,5,,,
tttyttyty'---r-uru-rr,5,,,
j'aime beaucoup ^^,5,,,
excellent expérience j’adore ce style de site web qui permets de s’amuser impeux de temps en temps,5,,,
incroyable je recommande à fond,5,,,
trop bien  ce site,5,,,
"top, vraiment sympa pour connaître pleins d'information sur son compte twetter ",5,,,
cool le site cool !!!!,5,,,
"affinitweet est un service génial ! on peut accéder à des fonctionnalités vraiment bien faites qui permettent par exemple de voir ses amis (j'adore celle-ci), ou encore de voir des statistiques !je recommande ",5,,,
"good, funny for twitter",4,,,
très utile et fun !,5,,,
"site web intéressant qui donne plein d'informations et de statistiques à propos de notre compte twitter, c'est intéressant et amusant à la fois :)",5,,,
"rapide, simple et vraiment agréable. je recommande",5,,,
c'est marrant de découvrir des infos sur notre compte twitter,5,,,
trés bienj'aime beaucoup ce site je trouve qu'il est bien fait et sa fonctionne très bien,5,,,
